Honda City 6th Generation 2023 1.5L ASPIRE CVT for Sale,https://www.pakwheels.com/used-cars/honda-city-2023-for-sale-in-lahore-11359113,PKR 53.95 lacs
Toyota Fortuner  2022 Legender  for Sale,https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-islamabad-11359250,PKR 1.67 crore
"MG HS  2021 1.5 Turbo for Sale
9.2/10",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-multan-11283289,PKR 65 lacs
Toyota Corolla  2017 XLi VVTi for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-islamabad-11359249,PKR 38 lacs
Chery Tiggo 4 Pro  2022 DEX Plus 1.5T for Sale,https://www.pakwheels.com/used-cars/chery-tiggo-4-pro-2022-for-sale-in-lahore-11358230,PKR 55.5 lacs
Toyota Prado  2011 TX 4.0 for Sale,https://www.pakwheels.com/used-cars/toyota-prado-2011-for-sale-in-islamabad-11359240,Call
Toyota Yaris Sedan  2022 GLI MT 1.3 for Sale,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2022-for-sale-in-gujranwala-11359246,PKR 42 lacs
Toyota Corolla  2013 XLi VVTi for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-11359239,PKR 27.75 lacs
"Toyota Corolla  2010 GLi 1.3 VVTi for Sale
6.3/10",https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-karachi-11261734,PKR 24 lacs
Haval H6  2024 HEV for Sale,https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-karachi-11167211,Call
"KIA Sportage  2020 Alpha for Sale
10/10",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-gujranwala-11338318,PKR 68 lacs
"MG HS  2021 1.5 Turbo for Sale
9.2/10",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-11338306,PKR 60 lacs
"KIA Sportage  2024 AWD for Sale
10/10",https://www.pakwheels.com/used-cars/kia-sportage-2024-for-sale-in-lahore-11338186,PKR 86 lacs
"Nissan Kicks  2021 e-Power X for Sale
7.4/10",https://www.pakwheels.com/used-cars/nissan-kicks-2021-for-sale-in-lahore-11212648,PKR 70 lacs
Toyota Aqua  2018 S for Sale,https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-islamabad-11049025,PKR 54.5 lacs
Honda Civic  2022 Oriel 1.8 i-VTEC CVT for Sale,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-11359237,PKR 68.5 lacs
Peugeot 2008  2022 Allure for Sale,https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-lahore-11358907,PKR 58 lacs
Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2025-for-sale-in-karachi-11359236,PKR 49.87 lacs
Suzuki Mehran  2015 VX Euro II for Sale,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-islamabad-11359212,PKR 12.5 lacs
